id	CRC_ACCC_01	CRC_ACCC_02	CRC_ACCC_03	CRC_ACCC_04	CRC_ACCC_05	CRC_ACCC_06	CRC_ACCC_07	CRC_ACCC_08	CRC_ACCC_09	CRC_ACCC_11	CRC_ACCC_12	CRC_ACCC_13	CRC_ACCC_14	CRC_ACCC_15	CRC_ACCC_16	CRC_ACCC_17	CRC_ACCC_18	CRC_ACCC_19	CRC_ACCC_20	CRC_ACCC_21	CRC_ACCC_22	CRC_ACCC_23	CRC_ACCC_24	CRC_ACCC_25	CRC_ACCC_26	CRC_ACCC_27	CRC_ACCC_28	CRC_ACCC_29
HALLMARK_TNFA_SIGNALING_VIA_NFKB	11.4471	16.5183	17.4354	13.972	14.3355	14.6496	14.8495	14.7501	16.6237	15.3733	15.2861	14.2215	17.7302	16.1501	16.7182	16.3995	13.2905	15.787	11.4957	15.2867	16.0572	17.2295	17.8467	20.5129	15.4745	9.899	14.9713	10.3041
HALLMARK_HYPOXIA	12.1053	15.8159	16.005	13.2692	13.1032	14.4166	14.5988	15.2487	13.1736	14.1098	14.9371	13.6987	14.8091	13.7702	14.0646	15.4239	12.1225	14.155	12.4673	13.3547	14.9781	14.4936	15.9326	14.9806	15.1347	12.7126	13.4976	14.0981
HALLMARK_CHOLESTEROL_HOMEOSTASIS	9.0588	8.7748	9.5759	8.6902	10.5058	10.5003	9.0347	9.4796	8.603	9.6952	9.8403	10.249	9.1293	10.5326	9.4454	8.9953	7.9015	8.556	9.8093	10.1899	9.4364	11.1014	10.9868	9.7239	7.4082	9.1853	9.6778	6.5015
HALLMARK_MITOTIC_SPINDLE	16.5428	15.3578	16.2588	16.6345	15.9546	14.9895	14.6282	13.9947	15.8054	15.0947	14.3387	13.9328	14.8668	13.9958	14.6337	15.3061	17.6404	13.7685	16.0256	15.3038	13.9214	16.8591	15.7726	14.9077	15.4724	15.1426	15.0178	15.0308
HALLMARK_WNT_BETA_CATENIN_SIGNALING	6.3292	6.206	6.0229	6.9486	6.8908	6.4227	6.5664	4.8748	4.8329	5.1666	5.5372	7.0465	6.8259	5.8022	6.684	5.541	6.6127	6.9377	6.1501	5.974	5.0024	6.6856	6.0727	6.6293	5.7638	6.5379	6.1706	6.048
HALLMARK_TGF_BETA_SIGNALING	7.2533	10.9275	8.9647	9.1108	8.6181	8.2806	9.0656	8.9899	8.2816	7.5284	8.3833	9.4628	10.4913	8.5289	9.5714	9.2225	8.3073	9.3561	8.6665	8.846	9.6693	8.7372	7.968	10.1578	9.9644	9.4411	8.5044	8.4059
HALLMARK_IL6_JAK_STAT3_SIGNALING	6.5736	9.3127	8.5488	7.6211	8.0783	8.5715	8.3958	7.1206	9.1923	8.6049	8.4115	7.7136	9.2745	8.1264	9.1645	8.4054	7.2317	8.8725	7.0987	8.0379	8.5386	8.2307	8.896	9.0255	6.8563	5.3614	8.1489	4.6784
HALLMARK_DNA_REPAIR	12.7433	9.8816	11.7733	10.4096	10.911	10.6152	11.8879	10.5375	12.8487	10.2032	11.6091	10.5038	9.767	11.5867	9.9076	13.0507	13.3899	11.0363	12.1477	11.7351	9.2512	11.2495	11.5553	10.8089	10.4561	11.6597	10.7199	9.5998
HALLMARK_G2M_CHECKPOINT	17.3764	10.6454	15.1842	16.3523	16.0446	14.5931	14.4514	10.6045	16.4615	12.8041	13.3257	12.1197	11.5672	13.7073	12.1058	17.0323	17.5642	14.3653	16.4927	14.0538	8.635	16.2899	16.4358	12.4304	10.4275	12.72	14.1645	10.152
HALLMARK_APOPTOSIS	12.9389	16.1004	14.9925	14.9839	14.9236	14.586	15.329	15.8645	16.4428	15.1502	14.7863	14.9366	15.3571	15.0819	15.2718	15.8127	14.6838	15.5259	15.2423	16.3122	16.207	15.6176	15.2313	15.8803	14.5688	13.2023	14.2851	14.296
HALLMARK_NOTCH_SIGNALING	5.5439	6.2126	5.4577	5.3247	5.7567	5.6216	5.7455	5.3883	4.2161	5.6928	5.3496	5.652	5.3543	4.9396	5.9894	4.8699	5.5485	6.2473	6.3301	5.6827	5.4141	6.0835	5.395	6.2666	5.35	5.334	5.3647	5.7233
HALLMARK_ADIPOGENESIS	14.4117	14.8845	15.4466	15.0129	14.852	15.4502	15.2219	16.9589	13.9344	13.4465	15.7276	15.4154	16.2528	15.2219	15.2284	14.5427	13.8538	14.4535	14.1682	14.8085	17.3314	14.2482	15.8375	15.1796	15.763	15.4576	15.4113	15.258
HALLMARK_ESTROGEN_RESPONSE_EARLY	12.0035	10.993	12.1804	12.2237	12.1345	11.9069	12.9003	13.37	10.3714	11.8274	12.9311	12.5302	12.6009	11.9128	12.3506	11.5645	11.0116	13.3131	11.7987	12.0177	12.8232	13.1326	13.4732	12.3298	11.2418	13.057	12.6032	9.5399
HALLMARK_ESTROGEN_RESPONSE_LATE	12.6817	10.4163	12.7362	11.8615	12.8408	13.0942	12.577	14.1635	12.4479	12.0647	13.6844	14.0472	13.3212	13.2944	12.5314	13.2109	12.5799	12.6344	13.0471	12.829	13.8882	13.4265	14.3311	13.6323	9.604	13.6177	12.6546	8.3457
HALLMARK_ANDROGEN_RESPONSE	9.4811	10.8728	11.9124	12.178	11.6004	11.7255	10.4234	12.8287	9.929	11.3679	11.3099	12.09	11.7268	11.8909	11.9973	9.7833	10.1815	10.6453	10.6693	11.2274	11.7596	10.9543	11.5623	12.5842	10.8115	10.2292	10.2217	8.7388
HALLMARK_MYOGENESIS	7.9707	13.1603	9.7132	9.1854	10.3197	10.6887	10.6787	9.6535	8.3094	9.5447	9.966	10.3359	14.2181	10.0496	12.3156	8.8889	8.9719	10.6038	9.2966	9.1915	11.8762	9.2591	10.1415	12.6583	15.5419	11.3644	10.2203	16.4866
HALLMARK_PROTEIN_SECRETION	11.3737	12.4512	13.6716	13.0153	12.9174	11.5754	11.778	12.9007	10.8376	11.3398	11.9888	11.6396	12.272	11.0863	11.8016	11.8151	11.9309	12.483	12.1994	11.7405	12.5682	11.2711	10.9359	12.2423	11.861	10.8525	10.9083	11.1013
HALLMARK_INTERFERON_ALPHA_RESPONSE	10.3751	11.78	10.0706	8.4212	8.9144	9.5881	9.7064	9.0935	15.8045	11.1682	9.354	8.8962	9.9312	10.088	10.3592	12.3331	8.4067	12.0144	9.7348	13.7881	10.7129	10.0336	10.5785	9.9663	8.9083	8.165	12.0218	8.0224
