Biomarker	Function	Somatic_or_Germline_alteration	Alteration	Biomarker_basket
NF1	Loss-of-function	Somatic	SNV/indel	RME
TSC2	Loss-of-function	Somatic	Deletion	PAM
WNK2	Loss-of-function	Somatic	SNV/indel	RME
ERCC4	Loss-of-function	Somatic	SNV/indel	DDR
PTEN	Loss-of-function	Somatic	SNV/indel	PAM
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
BRCA1	Loss-of-function	Somatic	Deletion	DDR
CDK12	Loss-of-function	Somatic	Deletion	DDR
RAD51	Loss-of-function	Somatic	Deletion	DDR
ABL1	Gain-of-function	Somatic	Overexpression	RME
FGFR4	Gain-of-function	Somatic	Gain	TK
KIT	Gain-of-function	Somatic	Overexpression	TK
NF1	Loss-of-function	Somatic	Deletion	RME
NF1	Loss-of-function	Somatic	Deletion	RME
NA	NA	NA	NA	NA
RECQL	Loss-of-function	Somatic	SNV/indel	DDR
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
FANCL	Loss-of-function	Germline	NA	DDR
JAK1	Gain-of-function	Somatic	Overexpression	TK
JAK2	Gain-of-function	Somatic	Overexpression	TK
OSM	Gain-of-function	Somatic	SNV/indel	OTH
RET	Gain-of-function	Somatic	Gain	TK
RET	Gain-of-function	Somatic	Overexpression	TK
BRCA2	Loss-of-function	Somatic	Deletion	DDR
TMB	Composite biomarker	Somatic	Positive	IE
FGFR2	Gain-of-function	Somatic	SNV/indel	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
NA	NA	NA	NA	NA
NF1	Loss-of-function	Somatic	SNV/indel	RME
NF1	Loss-of-function	Germline	SNV/indel	RME
NF1	Loss-of-function	Germline	SNV/indel	RME
NF1	Loss-of-function	Somatic	SNV/indel	RME
BRCA1	Loss-of-function	Somatic	Underexpression	DDR
RAD51	Loss-of-function	Somatic	Deletion	DDR
CDKN2A	Loss-of-function	Somatic	Deletion	CC
FLT1	Gain-of-function	Somatic	Overexpression	TK
VEGFA	Gain-of-function	Somatic	Overexpression	TK
VEGFB	Gain-of-function	Somatic	Overexpression	TK
MET	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Gain	TK
CSF1R	Gain-of-function	Somatic	Overexpression	TK
CTLA4	Gain-of-function	Somatic	Overexpression	IE
PDCD1	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
BRAF	Gain-of-function	Somatic	SNV/indel	RME
CCNE1	Gain-of-function	Somatic	Overexpression	CC
CCNE1	Gain-of-function	Somatic	Gain	CC
CCNE1	Gain-of-function	Somatic	Overexpression	CC
