TFs_Dorothea	condition	score	p_value
ASCL1	CRC_ACCC_01	1.395832358953919	0.41
ASCL1	CRC_ACCC_02	-0.2875971841345536	0.951
ASCL1	CRC_ACCC_03	-0.658684422834024	0.527
ASCL1	CRC_ACCC_04	0.6870167590103811	0.605
ASCL1	CRC_ACCC_05	1.7906707282660013	0.097
ASCL1	CRC_ACCC_06	1.3592319803931858	0.177
ASCL1	CRC_ACCC_07	1.6889842184275388	0.064
ASCL1	CRC_ACCC_08	0.5335626119034158	0.365
ASCL1	CRC_ACCC_09	-3.0687075574886378	0.001
ASCL1	CRC_ACCC_11	2.3898717101206857	0.132
ASCL1	CRC_ACCC_12	-0.9384300832911002	0.23
ASCL1	CRC_ACCC_13	2.503241488072184	0.083
ASCL1	CRC_ACCC_14	0.7127007550664561	0.269
ASCL1	CRC_ACCC_15	-1.7310262270342331	0.154
ASCL1	CRC_ACCC_16	2.071430563326409	0.025
ASCL1	CRC_ACCC_17	-1.9405647002966249	0.064
ASCL1	CRC_ACCC_18	-1.7983870257330057	0.129
ASCL1	CRC_ACCC_19	1.0722193070721278	0.278
ASCL1	CRC_ACCC_20	0.46495229792465476	0.524
ASCL1	CRC_ACCC_21	-2.121764652424137	0.024
ASCL1	CRC_ACCC_22	-0.1476240290389694	0.828
ASCL1	CRC_ACCC_23	-0.7728165018506682	0.431
ASCL1	CRC_ACCC_24	-1.1687295443837458	0.134
ASCL1	CRC_ACCC_25	0.25542726684328404	0.709
ASCL1	CRC_ACCC_26	-0.10518762995956364	0.919
ASCL1	CRC_ACCC_27	2.304978208618693	0.085
ASCL1	CRC_ACCC_28	0.6296325477703036	0.623
ASCL1	CRC_ACCC_29	-0.7970163616984778	0.422
E2F4	CRC_ACCC_01	6.306204071014257	0.001
E2F4	CRC_ACCC_02	-6.428356164281521	0.001
E2F4	CRC_ACCC_03	2.899899396989312	0.003
E2F4	CRC_ACCC_04	2.092143307304623	0.087
E2F4	CRC_ACCC_05	-0.36822576694058123	0.572
E2F4	CRC_ACCC_06	0.3922754773186545	0.768
E2F4	CRC_ACCC_07	-2.1173030463203535	0.322
E2F4	CRC_ACCC_08	-5.308519794886931	0.001
E2F4	CRC_ACCC_09	5.524452399357215	0.001
E2F4	CRC_ACCC_11	1.3056146620034024	0.973
E2F4	CRC_ACCC_12	-1.612351276478077	0.06
E2F4	CRC_ACCC_13	-6.519024537084537	0.001
E2F4	CRC_ACCC_14	-8.285753745802973	0.001
E2F4	CRC_ACCC_15	0.07201226633550067	0.616
E2F4	CRC_ACCC_16	-4.754383089762932	0.001
E2F4	CRC_ACCC_17	7.71481805324567	0.001
E2F4	CRC_ACCC_18	9.062752354500475	0.001
E2F4	CRC_ACCC_19	1.8475090509023382	0.049
E2F4	CRC_ACCC_20	8.431469732056037	0.001
E2F4	CRC_ACCC_21	1.0404505349879232	0.797
E2F4	CRC_ACCC_22	-11.172168010159998	0.001
E2F4	CRC_ACCC_23	6.306275371252039	0.001
E2F4	CRC_ACCC_24	8.91256614290857	0.001
E2F4	CRC_ACCC_25	-4.9303964520093855	0.001
E2F4	CRC_ACCC_26	-6.930894223947629	0.001
E2F4	CRC_ACCC_27	1.4632577398354534	0.681
E2F4	CRC_ACCC_28	2.6409435387754754	0.022
E2F4	CRC_ACCC_29	-6.151384027749805	0.001
HIF1A	CRC_ACCC_01	-2.7335708408816095	0.002
HIF1A	CRC_ACCC_02	3.6663710757056758	0.001
HIF1A	CRC_ACCC_03	4.528476929478937	0.001
HIF1A	CRC_ACCC_04	-1.2875020514165938	0.148
HIF1A	CRC_ACCC_05	-1.819176275118219	0.049
HIF1A	CRC_ACCC_06	-1.431966365518367	0.13
HIF1A	CRC_ACCC_07	-1.89712313224439	0.281
HIF1A	CRC_ACCC_08	-0.34958298059768433	0.798
HIF1A	CRC_ACCC_09	1.7422182451153856	0.232
HIF1A	CRC_ACCC_11	1.610332038721204	0.678
HIF1A	CRC_ACCC_12	-2.8443161852320373	0.002
HIF1A	CRC_ACCC_13	-3.198345247827	0.003
HIF1A	CRC_ACCC_14	1.9855663346641452	0.029
HIF1A	CRC_ACCC_15	-0.6770582854370644	0.878
HIF1A	CRC_ACCC_16	-3.2138721482209416	0.013
HIF1A	CRC_ACCC_17	4.339960645995616	0.001
HIF1A	CRC_ACCC_18	-1.8055289820835323	0.259
HIF1A	CRC_ACCC_19	-0.97621557131019	0.357
HIF1A	CRC_ACCC_20	-2.2501762241595182	0.086
HIF1A	CRC_ACCC_21	-2.162513337777966	0.016
HIF1A	CRC_ACCC_22	-0.04352094335192324	0.588
HIF1A	CRC_ACCC_23	2.9919805804602064	0.004
HIF1A	CRC_ACCC_24	4.834490691146591	0.001
HIF1A	CRC_ACCC_25	5.390348713944973	0.001
HIF1A	CRC_ACCC_26	1.7370853110550482	0.047
HIF1A	CRC_ACCC_27	-3.5078551779595655	0.001
HIF1A	CRC_ACCC_28	-2.1855507927363966	0.019
HIF1A	CRC_ACCC_29	-2.331998062573113	0.021
HNF4A	CRC_ACCC_01	-0.5272880244094266	0.386
HNF4A	CRC_ACCC_02	-2.769592371195513	0.031
HNF4A	CRC_ACCC_03	1.3560361160090415	0.159
HNF4A	CRC_ACCC_04	1.497046617130103	0.146
HNF4A	CRC_ACCC_05	2.194977556761937	0.037
